"source","target","value"
"Votos a candidaturas 2007","PSOE 2007",348
"Votos a candidaturas 2007","PP 2007",553
"Votos a candidaturas 2007","PAR 2007",174
"Votos a candidaturas 2007","CHA 2007",394
"Votos a candidaturas 2007","IU 2007",102
"PSOE 2007","Votos a candidaturas 2011",348
"PP 2007","Votos a candidaturas 2011",553
"PAR 2007","Votos a candidaturas 2011",174
"CHA 2007","Votos a candidaturas 2011",394
"IU 2007","Votos a candidaturas 2011",102
"Votos a candidaturas 2011","PSOE 2011",183
"Votos a candidaturas 2011","PP 2011",1298
"Votos a candidaturas 2011","PAR 2011",92
"Votos a candidaturas 2011","CHA 2011",356
"Votos a candidaturas 2011","IU 2011",92
"Votos a candidaturas 2011","FIA 2011",66
